index,Year,Type,Mileage(miles),Engine,PS,Transmission,Fuel,Number_of_Owners,Price(£),href,PPY,MileageRank,PriceRank,PPYRank,Score
0,2018.0,Hatchback,44000.0,1.6L,114.39842209072978,Manual,Diesel,1,14995.0,https://www.autotrader.co.uk/car-details/202212122461540?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=1&percentVehiclePriceDeposit=true,2499.1666666666665,215,163,340,718
4,2016.0,Hatchback,42596.0,1.0L,93.68836291913215,Manual,Petrol,3,10755.0,https://www.autotrader.co.uk/car-details/202210090558995?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=1&percentVehiclePriceDeposit=true,2688.75,222,330,276,828
7,2015.0,Hatchback,42700.0,1.4L,123.27416173570019,Manual,Petrol,2,10799.0,https://www.autotrader.co.uk/car-details/202212152544160?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=1&percentVehiclePriceDeposit=true,3599.6666666666665,221,327,94,642
11,2014.0,Hatchback,86000.0,1.6L,103.55029585798816,Manual,Diesel,3,7490.0,https://www.autotrader.co.uk/car-details/202211151697232?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3745.0,41,449,83,573
12,2014.0,Hatchback,104310.0,1.6L,103.55029585798816,Manual,Diesel,3,7400.0,https://www.autotrader.co.uk/car-details/202207298262599?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3700.0,12,452,85,549
15,2015.0,Hatchback,55191.0,1.4L,123.27416173570019,Manual,Petrol,2,9991.0,https://www.autotrader.co.uk/car-details/202212052286694?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3330.3333333333335,148,365,125,638
18,2014.0,Hatchback,93432.0,1.6L,103.55029585798816,Manual,Diesel,4,6490.0,https://www.autotrader.co.uk/car-details/202212052289351?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3245.0,30,466,134,630
25,2015.0,Hatchback,49000.0,1.4L,123.0,Manual,Petrol,2,11795.0,https://www.autotrader.co.uk/car-details/202209219967954?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=3&percentVehiclePriceDeposit=true,3931.6666666666665,185,271,61,517
28,2018.0,Hatchback,68582.0,1.4L,147.92899408284023,Manual,Petrol,1,12300.0,https://www.autotrader.co.uk/car-details/202211101543944?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=3&percentVehiclePriceDeposit=true,2050.0,91,245,452,788
30,2016.0,Hatchback,72900.0,1.6L,114.39842209072978,Manual,Diesel,2,8980.0,https://www.autotrader.co.uk/car-details/202211141675789?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&model=A1&year-to=2022&include-delivery-option=on&postcode=br49jd&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=4&percentVehiclePriceDeposit=true,2245.0,69,406,421,896
