Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
100 Darter (S.L. Industries),Piston,145,104,91,46,36,450,900,1300,"2,050","1,180",25/3,37/5,370,1300000
7 CCM Champ,Piston,85,89,83,44,15,600,720,800,"1,350",820,20/7,36/1,190,1230000
100 Darter (S.L. Industries),Piston,90,90,78,37,19,650,475,850,"1,300",810,21/5,35/0,210,1600000
7 AC Champ,Piston,85,88,78,37,19,620,500,850,"1,300",800,21/5,35/0,210,1300000
100 Darter (S.L. Industries),Piston,65,83,74,33,14,370,632,885,"1,220",740,21/5,35/0,175,1250000
PA-60-700P Aerostar (preliminary),Piston,65,78,72,33,15,360,583,880,"1,250",786,20/4,36/1,180,1100000
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,350,264,230,80,165,"1,820",3080,2100,"6,315","4,275",34/10,36/8,868,2500000
100 Darter (S.L. Industries),Piston,290,262,247,77,165,"1,755",2250,2076,"6,000","4,125",34/9,36/7,"1,020",2800000
"PA-601, 601A, turbochg Aerostar",Piston,290,257,235,77,165,"1,460",2490,2030,"6,000","4,056",34/10,36/8,"1,101",2500000
100 Darter (S.L. Industries),Piston,290,257,237,77,165,"1,460",2490,2030,"6,000","3,958",34/10,36/8,"1,174",3000000
G164B-600 AG-CAT (design category) sprayer,Piston,290,271,236,69,174,"1,700",2200,1625,"5,700","3,750",34/10,34/2,"1,174",3010000
100 Darter (S.L. Industries),Piston,290,220,212,74,165,"1,800",1950,1840,"5,500","3,737",34/10,34/2,"1,200",2120000
G164A-300 AG CAT,Piston,600,,100,52,64,"1,360",1050,1150,"5,200","3,650",25/6,42/5,200,nan
100 Darter (S.L. Industries),Piston,600,128,96,59,46,"1,600",860,770,"4,500","3,160",24/4,35/11,148,1450000
G164A-245 AG CAT,Piston,525,128,91,52,46,"1,350",,540,567,"4,500","3,150",42/3,155,nan
A-2,Piston,450,128,91,52,46,"1,060",1090,1150,"4,500","3,100",25/7,42/3,190,1450000
100 Darter (S.L. Industries),Piston,450,128,91,58,46,990,1145,750,"4,500","2,870",24/4,35/11,190,1400000
415-G,Piston,300,128,74,54,46,700,1200,1000,"3,750","2,410",24/4,35/8,226,1150000
CH-601-XL/i/650-LS/i,Piston,275,114,74,54,33,600,1275,1000,"3,750","2,400",24/4,35/8,117,1025000
8KCAB-150 F/P prop(w/optional speed kit),Piston,245,114,70,54,33,496,1300,1000,"3,750","2,300",24/4,35/8,174,850000
7KCAB,Piston,220,114,70,48,33,435,1360,1000,"3,600","2,200",24/4,35/8,190,700000
7GCAA,Piston,90,112,108,37,24,640,1100,1200,"1,450",930,20/2,30/0,410,1730000
100 Darter (S.L. Industries),Piston,90,113,104,50,24,600,1800,1600,"1,400",900,20/1,30/0,400,1600000
7GCBC with EDO floats,Piston,85,99,96,50,24,550,2100,1850,"1,400",833,20/1,30/0,360,1350000
7EC,Piston,100,120,113,38,30,"1,000",,,"1,320",770,20/0,27/0,715,1200000
Starship 2000 (2000A=increased spds & weights),Piston,150,147,137,52,40,"1,000",,,"1,800","1,260",22/11,32/0,404,1600000
King Air 260,Piston,150,116,109,43,39,"1,120",535,755,"1,650","1,140",22/7,34/5,411,1700000
B200 Super King Air,Piston,150,109,103,37,37,"1,140",617,718,"1,650","1,050",22/9,34/5,411,1810000
100 Darter (S.L. Industries),Piston,150,113,109,43,39,"1,120",535,755,"1,650","1,140",22/8,33/5,411,1700000
"B100 King Air (prior '79 serv. ceiling=29,100)",Piston,150,113,111,39,35,"1,145",457,690,"1,650","1,150",22/8,34/3,480,1700000
100 Darter (S.L. Industries),Piston,150,97,90,46,39,800,,,"1,800","1,290",22/7,34/6,248,1600000
100 King Air,Piston,115,109,107,44,35,725,716,775,"1,650","1,067",22/8,33/5,301,1200000
100 Darter (S.L. Industries),Piston,90,117,97,38,26,700,1240,700,"1,450",820,21/6,35/1,350,1550000
F90 King Air,Piston,60,85,75,38,13,400,850,,"1,220",750,21/11,35/1,261,850000
"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Piston,160,168,160,63,80,"1,160",1805,1330,"3,800","2,588",29/7,36/9,680,1740000
100 Darter (S.L. Industries),Piston,180,148,139,53,51,850,1550,1120,"2,400","1,360",22/0,31/6,530,1380000
100 Darter (S.L. Industries),Piston,150,136,127,52,37,660,1600,1100,"2,200","1,323",22/0,31/6,428,1265000
A 90 King Air,Piston,150,130,122,50,38,660,1600,1100,"2,200","1,271",22/0,31/5,503,1265000
100 Darter (S.L. Industries),Piston,108,120,108,52,24,705,1590,1100,"1,560",975,19/2,24/5,348,1275000
88 Queen Air pressurized,Piston,108,120,109,51,24,765,1400,1065,"1,500","1,007",19/3,24/5,350,1375000
B 80 Queen Air - specs thru 1972,Piston,100,90,84,33,20,700,,,"1,320",845,22/5,35/6,275,1500000
80 Queen Air,Piston,180,126,113,36,52,"1,500",,,"1,800","1,190",22/7,35/6,696,2000000
A 65 Queen Air,Piston,600,122,96,61,54,"1,000",1200,800,"6,000","3,400",29/4,44/4,275,1500000
B 60 Duke pressurized (prior '78 t/o run=2006),Piston,600,122,108,57,100,900,,,"6,000","3,700",29/4,44/4,275,1500000
60 Duke Pressurized,Propjet,750,138,130,57,190,"1,740",,,"6,000","3,600",33/0,44/5,545,2500000
100 Darter (S.L. Industries),Piston,80,157,138,46,17,"1,000",820,721,"1,320",622,20/10,35/5,350,nan
100 Darter (S.L. Industries),Propjet,1050,158,126,52,216,650,,,12500,5829,33/6,56,600,800000
C 50 Twin Bonanza,Propjet,"1,200",335,328,,560,"3,225",3876,2630,"14,400","9,887",46/1,54/5,"1,722",3480000
50 Twin Bonanza,Propjet,"1,050",314,303,,539,"2,979",,2508,"15,000","9,051",46/8,57/11,"1,966",3500000
58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Propjet,850,310,259,80,3645,2437,,,12590,8830,43/10,57/11,1720,3500000
58 TC Baron (325) turbochg-non-pressurized,Propjet,850,294,279,75,544,"2,450",3345,2845,"12,500","7,538",43/9,54/6,"1,972",3500000
100 Darter (S.L. Industries),Propjet,850,290,272,75,544,"2,450",3345,2845,"12,500","7,538",43/9,54/6,"1,870",3288000
58 Baron (300 hp),Propjet,715,265,258,83,470,"1,963",2951,2679,"11,800","7,082",39/11,45/11,"1,080",2485000
100 Darter (S.L. Industries),Propjet,680,248,235,75,470,"1,963",3245,2944,"11,500","6,797",39/11,45/11,"1,000",2485000
A56TC Turbo Baron,Propjet,680,248,239,73,374,"2,200",1729,2138,"10,600","6,440",39/9,45/10,"1,005",2590000
100 Darter (S.L. Industries),Propjet,750,279,265,79,470,"2,455",2808,2275,"10,950","6,647",39/10,45/11,"1,235",3045000
E 55 Baron ('70-'72 fuel=142 gal opt),Propjet,750,267,261,77,470,"2,380",2856,2275,"10,950","6,549",39/10,45/11,"1,235",2980200
